['generalized_linear', 'mean', 'relu6', 2, 32, 'generalized_linear', 'sum', 'leaky_relu', 6, 7],-0.17820000000000003,0.602
['cos', 'mlp', 'leaky_relu', 4, 256, 'gat', 'mean', 'leaky_relu', 16, 7],-0.0036000000000000476,0.71
['gcn', 'mean', 'tanh', 4, 128, 'gcn', 'sum', 'leaky_relu', 4, 7],-0.022199999999999998,0.758
['gat', 'mlp', 'linear', 4, 16, 'cos', 'mlp', 'relu6', 16, 7],-0.5,0.1
['linear', 'max', 'sigmoid', 1, 8, 'gat', 'mean', 'leaky_relu', 1, 7],-0.5,0.076
['cos', 'sum', 'tanh', 4, 8, 'generalized_linear', 'mean', 'elu', 6, 7],-0.3862,0.394
['gat_sym', 'sum', 'sigmoid', 4, 8, 'linear', 'max', 'tanh', 8, 7],-0.4636,0.258
['generalized_linear', 'max', 'elu', 1, 16, 'linear', 'mean', 'elu', 16, 7],-0.4542,0.326
['gcn', 'mean', 'relu', 2, 32, 'cos', 'mlp', 'tanh', 16, 7],-0.3236,0.398
['cos', 'mean', 'relu', 16, 8, 'const', 'mlp', 'tanh', 16, 7],-0.5,0.122
['generalized_linear', 'mlp', 'softplus', 6, 128, 'generalized_linear', 'mlp', 'softplus', 2, 7],-0.5,0.136
['linear', 'mlp', 'leaky_relu', 4, 256, 'cos', 'max', 'tanh', 2, 7],-0.3296,0.392
['generalized_linear', 'mlp', 'tanh', 4, 256, 'const', 'mlp', 'linear', 8, 7],-0.03820000000000001,0.742
['gcn', 'mlp', 'elu', 16, 4, 'cos', 'sum', 'softplus', 2, 7],0.04039999999999999,0.762
['generalized_linear', 'mlp', 'softplus', 2, 16, 'const', 'mlp', 'leaky_relu', 6, 7],-0.5,0.206
['cos', 'mean', 'leaky_relu', 16, 128, 'gat_sym', 'mlp', 'relu6', 4, 7],-0.5,0.11
['gcn', 'max', 'tanh', 2, 256, 'const', 'sum', 'leaky_relu', 1, 7],-0.3742,0.406
['gcn', 'mean', 'tanh', 4, 16, 'generalized_linear', 'mean', 'linear', 8, 7],-0.4222,0.358
['gcn', 'max', 'sigmoid', 4, 128, 'const', 'max', 'softplus', 1, 7],-0.5,0.114
['const', 'max', 'relu6', 4, 128, 'const', 'mlp', 'leaky_relu', 1, 7],-0.015799999999999925,0.714
['generalized_linear', 'sum', 'relu6', 2, 4, 'gat', 'sum', 'sigmoid', 16, 7],-0.5,0.2
['const', 'max', 'relu', 8, 64, 'gcn', 'max', 'sigmoid', 6, 7],-0.5,0.142
['gat_sym', 'mlp', 'relu', 4, 256, 'generalized_linear', 'mlp', 'linear', 16, 7],-0.0027999999999999137,0.73
['gat', 'mlp', 'leaky_relu', 16, 64, 'generalized_linear', 'mlp', 'relu', 16, 7],-0.5,0.126
